timestamp,model,dataset,notes,Return_MAE,Return_MSE,Return_RMSE,num_drifts_detected,total_retrain_time,average_retrain_time,model_switches,trial_verdicts,trials_promoted,trials_held,final_model,num_retrains,detect_true_positives,detect_false_positives,detect_false_negatives,detect_precision,detect_recall,detect_f1_score,detect_avg_detection_delay,total_time
2026-03-02 18:53:46,PSO_LSTM_kswin,linear_gradual_drift_7,,0.0384400144168745,0.0032592141261692,0.057089527289769,14,124.74676561355592,8.910483258111137,3,"['held', 'held', 'held', 'held', 'promoted', 'promoted', 'promoted', 'held', 'held', 'held', 'held', 'held', 'held', 'held']",3,11,v7,14,3,11,0,0.2142857142857142,1.0,0.3529411764705882,99.0,149.9168472290039
2026-03-02 18:54:55,PSO_ELM_kswin,linear_gradual_drift_7,,0.0384176371487207,0.0033270757491701,0.0576808091930946,16,68.14435887336731,4.259022429585457,13,"['held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held']",13,3,v13,16,3,13,0,0.1875,1.0,0.3157894736842105,3.0,69.27511739730835
2026-03-02 18:55:16,LSTM_kswin,linear_gradual_drift_7,,0.0264929028442453,0.0011188912087138,0.0334498312210074,12,2.054795265197754,0.1712329387664795,8,"['promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'held', 'promoted', 'promoted', 'promoted']",8,4,v12,12,2,10,1,0.1666666666666666,0.6666666666666666,0.2666666666666666,-37.0,21.55313205718994
2026-03-02 18:55:17,ELM_kswin,linear_gradual_drift_7,,0.0592704722660004,0.0107290357420033,0.1035810587993933,19,0.0122158527374267,0.0006429396177593,13,"['promoted', 'held', 'held', 'held', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held']",13,6,v17,19,3,16,0,0.1578947368421052,1.0,0.2727272727272727,-32.0,0.7720174789428711
2026-03-02 19:04:14,PSO_LSTM_kswin,linear_gradual_drift_8,,0.0458822614397998,0.0046181367235166,0.0679568739975333,16,121.28573417663574,7.580358386039734,8,"['promoted', 'promoted', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'held', 'held', 'held', 'held', 'held']",8,8,v7,16,2,14,1,0.125,0.6666666666666666,0.2105263157894736,-78.5,145.94897055625916
2026-03-02 19:05:22,PSO_ELM_kswin,linear_gradual_drift_8,,0.0380167813465676,0.0041265649812488,0.0642383451004837,13,65.57624959945679,5.044326892265906,8,"['held', 'held', 'promoted', 'held', 'promoted', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",8,5,v13,13,3,10,0,0.2307692307692307,1.0,0.375,-65.33333333333333,67.1425724029541
2026-03-02 19:05:46,LSTM_kswin,linear_gradual_drift_8,,0.0257631425402056,0.0010376408040545,0.0322124324454791,14,2.5697875022888184,0.183556250163487,13,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted']",13,1,v14,14,2,12,1,0.1428571428571428,0.6666666666666666,0.2352941176470588,-122.0,24.269104719161987
2026-03-02 19:05:47,ELM_kswin,linear_gradual_drift_8,,0.0618322926236141,0.014854500026648,0.1218790385039531,19,0.0143313407897949,0.0007542810941997,14,"['promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted']",14,5,v18,19,2,17,1,0.1052631578947368,0.6666666666666666,0.1818181818181818,-73.5,0.7893068790435791
2026-03-02 19:14:42,PSO_LSTM_kswin,linear_gradual_drift_9,,0.0260490871970211,0.0013342314361007,0.0365271328754496,11,111.80278420448305,10.16388947313482,2,"['held', 'held', 'held', 'held', 'held', 'held', 'promoted', 'held', 'promoted', 'held', 'held']",2,9,v0,11,3,8,0,0.2727272727272727,1.0,0.4285714285714285,43.0,136.65194010734558
2026-03-02 19:15:23,PSO_ELM_kswin,linear_gradual_drift_9,,0.0507806130963112,0.008501362562983,0.092202833812107,15,39.42488384246826,2.628325589497884,12,"['held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",12,3,v15,15,3,12,0,0.2,1.0,0.3333333333333333,-37.66666666666666,40.78606104850769
