timestamp,model,dataset,notes,Return_MAE,Return_MSE,Return_RMSE
2026-03-16 19:43:09,ELM_Baseline,nonlinear_gradual_drift_4,,0.0292301330645753,0.0015329886045496,0.0391533983780424
2026-03-16 19:43:09,ELM_Baseline,nonlinear_gradual_drift_5,,0.0208561034395322,0.0006977188902783,0.0264143690115505
2026-03-16 19:43:09,ELM_Baseline,nonlinear_gradual_drift_6,,0.02963909202466,0.0015541846199918,0.0394231482760044
2026-03-16 19:43:09,ELM_Baseline,nonlinear_gradual_drift_7,,0.0254025465776263,0.0010487168168247,0.0323838974928088
2026-03-16 19:43:09,ELM_Baseline,nonlinear_gradual_drift_8,,0.0247555663891224,0.0009930579273653,0.0315128216344615
2026-03-16 19:43:09,ELM_Baseline,nonlinear_gradual_drift_9,,0.0233042671324838,0.0009018584793697,0.0300309586821626
2026-03-16 19:43:10,ELM_Baseline,nonlinear_gradual_drift_10,,0.0255108740452986,0.0011546355610317,0.033979928796743
2026-03-16 19:43:10,ELM_Baseline,nonlinear_gradual_drift_11,,0.0287288269074457,0.0013635339072104,0.0369260600011765
2026-03-16 19:43:10,ELM_Baseline,nonlinear_gradual_drift_12,,0.0229987717014021,0.000860429052757,0.0293330709738519
2026-03-16 19:43:10,ELM_Baseline,nonlinear_gradual_drift_13,,0.0261267339478065,0.0011721937947747,0.0342373158231594
2026-03-16 19:43:10,ELM_Baseline,nonlinear_gradual_drift_14,,0.0221250667774774,0.0007815007414824,0.027955334758905
2026-03-16 19:43:10,ELM_Baseline,nonlinear_gradual_drift_15,,0.0243898159822331,0.0009523317453839,0.0308598727376496
2026-03-16 19:43:10,ELM_Baseline,nonlinear_gradual_drift_16,,0.0206390497458972,0.0006810164015498,0.0260962909538851
2026-03-16 19:43:10,ELM_Baseline,nonlinear_gradual_drift_17,,0.0199254000144488,0.0006313148406992,0.0251259793978123
2026-03-16 19:43:10,ELM_Baseline,nonlinear_gradual_drift_18,,0.0317109472538097,0.0020820471375168,0.0456294547142182
2026-03-16 19:43:10,ELM_Baseline,nonlinear_gradual_drift_19,,0.0254545775274857,0.0011284300125537,0.0335921123562318
2026-03-16 19:43:10,ELM_Baseline,nonlinear_gradual_drift_20,,0.0259468792732058,0.0011722867097301,0.0342386727215018
2026-03-16 19:43:10,ELM_Baseline,nonlinear_gradual_drift_21,,0.0210315460833256,0.0007314001880978,0.0270444114023189
2026-03-16 19:43:10,ELM_Baseline,nonlinear_gradual_drift_22,,0.0192377438366939,0.0005809072907413,0.0241020183955908
2026-03-16 19:43:10,ELM_Baseline,nonlinear_gradual_drift_23,,0.0197664570800694,0.0006200623459093,0.0249010511004924
