timestamp,model,dataset,notes,Return_MAE,Return_MSE,Return_RMSE,num_drifts_detected,total_retrain_time,average_retrain_time,detect_true_positives,detect_false_positives,detect_false_negatives,detect_precision,detect_recall,detect_f1_score,detect_avg_detection_delay
2026-02-28 18:46:44,PSO_LSTM_page_hinkley,linear_abrupt_drift_1,,0.2140221818068485,0.1108946163220408,0.3330084328092021,32,119.95281410217284,3.7485254406929016,3,29,0,0.09375,1.0,0.1714285714285714,-130.0
2026-02-28 18:49:02,PSO_LSTM_kswin,linear_abrupt_drift_1,,0.063684923983327,0.0080684446414513,0.0898245213816995,19,63.71934247016907,3.3536496036931087,3,16,0,0.1578947368421052,1.0,0.2727272727272727,-126.0
2026-02-28 18:52:11,PSO_LSTM_adwin,nonlinear_gradual_drift_1,,0.0179109805624834,0.0005105034711773,0.0225943238707717,1,1.9908430576324463,1.9908430576324463,0,1,3,0.0,0.0,0.0,
2026-02-28 18:54:44,PSO_LSTM_page_hinkley,nonlinear_gradual_drift_1,,0.0179109805624834,0.0005105034711773,0.0225943238707717,1,2.4375667572021484,2.4375667572021484,0,1,3,0.0,0.0,0.0,
2026-02-28 18:58:34,PSO_LSTM_kswin,nonlinear_gradual_drift_1,,0.0325820844267127,0.0021155279126367,0.045994868329377,16,81.70121908187866,5.106326192617416,3,13,0,0.1875,1.0,0.3157894736842105,-35.333333333333336
2026-02-28 19:04:06,PSO_LSTM_adwin,nonlinear_abrupt_drift_1,,0.0420953684584817,0.0030798955687344,0.0554968068336773,6,26.1041522026062,4.3506920337677,3,3,0,0.5,1.0,0.6666666666666666,29.0
2026-02-28 19:07:53,PSO_LSTM_page_hinkley,nonlinear_abrupt_drift_1,,0.0766028377077308,0.0101601586481543,0.1007976123137566,25,64.72997522354126,2.697082300980886,3,22,0,0.12,1.0,0.2142857142857142,-110.33333333333331
2026-02-28 19:11:27,PSO_LSTM_kswin,nonlinear_abrupt_drift_1,,0.0947620034364645,0.0182250686216372,0.1350002541539728,19,55.33999419212341,2.9126312732696533,3,16,0,0.1578947368421052,1.0,0.2727272727272727,-218.3333333333333
2026-02-28 19:18:19,PSO_LSTM_adwin,linear_gradual_drift_1,,0.0295174691168626,0.0015797407480173,0.0397459525991939,6,55.79192972183228,9.298654953638712,1,5,2,0.1666666666666666,0.3333333333333333,0.2222222222222222,-167.0
2026-02-28 19:21:50,PSO_LSTM_page_hinkley,linear_gradual_drift_1,,0.0319520004811868,0.0019474987172749,0.0441304737939092,5,23.845436573028564,4.769087314605713,1,4,2,0.2,0.3333333333333333,0.25,-171.0
